case_id,time_s,eta_prime_m,incident_eta_prime_m,reflected_eta_prime_m,linear_inlet_velocity_m_per_s,c0_m_per_s
production_lateral,3.87,0.000972813077372655,9.619035729141964e-16,0.0009728130773716931,0.0021541440420160423,4.428690551393267
production_lateral,3.88,0.0010063512228281348,7.687386836174451e-16,0.001006351222827366,0.0022284090759610103,4.428690551393267
production_lateral,3.89,0.0010401961237673793,6.13862929220553e-16,0.0010401961237667655,0.002303353372462247,4.428690551393267
production_lateral,3.9,0.0010743019335400794,4.897895929688414e-16,0.0010743019335395895,0.0023788754112062335,4.428690551393267
production_lateral,3.91,0.0011086206340664888,3.9047494508910136e-16,0.0011086206340660983,0.0024548688635849356,4.428690551393267
production_lateral,3.92,0.0011431021239127143,3.110443134244788e-16,0.0011431021239124033,0.0025312227877249066,4.428690551393267
production_lateral,3.93,0.0011776943178495964,2.475693253471795e-16,0.0011776943178493488,0.002607821848945023,4.428690551393267
production_lateral,3.94,0.0012123432577668609,1.968869241674474e-16,0.001212343257766664,0.002684546565358714,4.428690551393267
production_lateral,3.95,0.0012469932347444809,1.5645245754298223e-16,0.0012469932347443243,0.002761273578182104,4.428690551393267
production_lateral,3.96,0.0012815869220123184,1.242205301364461e-16,0.0012815869220121942,0.002837875946152567,4.428690551393267
production_lateral,3.97,0.0013160655184581381,9.854845981339562e-17,0.0013160655184580397,0.0029142234633050186,4.428690551393267
production_lateral,3.98,0.0013503689022730393,7.811811909708912e-17,0.0013503689022729612,0.002990182999195953,4.428690551393267
production_lateral,3.99,0.0013844357942532064,6.187271715308427e-17,0.0013844357942531446,0.0030656188605099038,4.428690551393267
production_lateral,4.0,0.0014182039302077702,4.8965711912278287e-17,0.0014182039302077212,0.003140393172829974,4.428690551393267
production_lateral,4.01,0.0014516102418554381,3.871956161064724e-17,0.0014516102418553993,0.0032143662812054367,4.428690551393267
production_lateral,4.0200000000000005,0.0014845910455275626,3.0592450346206046e-17,0.001484591045527532,0.0032873971680054837,4.428690551393267
production_lateral,4.03,0.0015170822379333298,2.4151470023281897e-17,0.0015170822379333058,0.0033593438864109445,4.428690551393267
production_lateral,4.04,0.0015490194981841498,1.9051025139357246e-17,0.0015490194981841307,0.0034300640077660417,4.428690551393267
production_lateral,4.05,0.001580338495219523,1.501545871056739e-17,0.0015803384952195081,0.0034994150808908774,4.428690551393267
production_lateral,4.0600000000000005,0.0016109750997264714,1.1825086655370716e-17,0.0016109750997264595,0.0035672551013442248,4.428690551393267
production_lateral,4.07,0.001640865599599123,9.304981922765863e-18,0.0016408655995991137,0.0036334429885254414,4.428690551393267
production_lateral,4.08,0.0016699469179450495,7.315974943739932e-18,0.001669946917945042,0.0036978390684157736,4.428690551393267
production_lateral,4.09,0.0016981568326105033,5.747438845751621e-18,0.0016981568326104974,0.0037603055596830263,4.428690551393267
production_lateral,4.1,0.0017254341961685574,4.511510603183531e-18,0.0017254341961685528,0.003820707060811263,4.428690551393267
production_lateral,4.11,0.0017517191552922917,3.538466430047341e-18,0.0017517191552922882,0.0038789110358687833,4.428690551393267
production_lateral,4.12,0.001776953368420054,2.7730241445936256e-18,0.0017769533684200511,0.003934788296494166,4.428690551393267
production_lateral,4.13,0.0018010802206117106,2.1713893134237967e-18,0.0018010802206117084,0.003988213477662191,4.428690551393267
production_lateral,4.14,0.001824045034493651,1.6988976480724392e-18,0.0018240450344936493,0.004039065504788919,4.428690551393267
production_lateral,4.15,0.0018457952761965614,1.3281349581777253e-18,0.00184579527619656,0.004087228049749018,4.428690551393267
production_lateral,4.16,0.0018662807552033802,1.0374392499013376e-18,0.001866280755203379,0.00413258997340815,4.428690551393267
production_lateral,4.17,0.0018854538170456417,8.097083455623134e-19,0.0018854538170456408,0.004175045752319201,4.428690551393267
production_lateral,4.18,0.0019032695278143421,6.314515448683793e-19,0.0019032695278143415,0.00421449588729305,4.428690551393267
production_lateral,4.19,0.0019196858494866154,4.920360445602885e-19,0.001919685849486615,0.004250847291632365,4.428690551393267
production_lateral,4.2,0.0019346638051115062,3.830886463687653e-19,0.0019346638051115058,0.004284013656909936,4.428690551393267
production_lateral,4.21,0.0019481676329469082,2.980211712599397e-19,0.001948167632946908,0.004313915794281079,4.428690551393267
production_lateral,4.22,0.001960164928694849,2.316543327071666e-19,0.0019601649286948484,0.004340481949441666,4.428690551393267
production_lateral,4.23,0.00197062677504355,1.7991990429569512e-19,0.00197062677504355,0.004363648089478977,4.428690551393267
production_lateral,4.24,0.0019795278577915687,1.396250910580744e-19,0.0019795278577915687,0.004383358160010637,4.428690551393267
production_lateral,4.25,0.0019868465679013982,1.082662766072224e-19,0.0019868465679013982,0.004399564311166532,4.428690551393267
production_lateral,4.26,0.001992565088906716,8.388192855582275e-20,0.001992565088906716,0.004412227091138629,4.428690551393267
production_lateral,4.2700000000000005,0.001996669469178455,6.493653133378299e-20,0.001996669469178455,0.004421315606203017,4.428690551393267
production_lateral,4.28,0.001999149678639438,5.0229081893918754e-20,0.001999149678639438,0.004426807646305682,4.428690551393267
